"Prov;Tahun;IPM;KMSK;PENGRN;PE;JLMSK;JLPGGRN;PAD;TOTPEN;BLEKON;BLKES;BLPEDD;RSMAND"
"Sulawesi Barat;2017;64,3;11,2;3,2;6,4;5,01;9,89;5,69;7,51;7,61;7,72;8,30;0,8"
"Sulawesi Barat;2018;65,1;11,2;3,0;6,3;5,03;9,90;5,71;7,51;7,62;7,47;8,15;0,8"
"Sulawesi Barat;2019;65,7;10,9;3,0;5,6;5,02;9,92;5,84;7,62;7,70;7,35;8,39;0,8"
"Sulawesi Barat;2020;66,1;11,5;3,3;-2,3;5,07;10,05;5,85;7,60;7,31;7,54;8,97;0,8"
"Sulawesi Barat;2021;66,4;11,9;3,1;2,6;5,11;10,01;6,01;7,61;8,27;7,31;8,57;0,8"
"Sulawesi Barat;2022;66,9;11,9;2,3;2,3;5,13;9,77;6,13;7,55;8,53;7,21;8,71;0,8"
"Sulawesi Barat;2023;67,6;11,5;2,3;5,3;5,10;9,76;6,13;7,61;8,26;7,50;8,86;0,8"
"Maluku;2013;66,1;19,3;9,9;5,2;5,78;11,10;5,72;7,34;7,72;7,31;8,14;0,8"
"Maluku;2014;66,7;18,4;10,5;6,6;5,73;11,17;6,05;7,51;7,83;7,39;6,75;0,8"
"Maluku;2015;67,1;19,4;9,9;5,5;5,79;11,19;5,97;7,67;7,98;7,67;8,53;0,8"
"Maluku;2016;67,6;19,3;7,1;5,7;5,80;10,87;6,14;7,84;8,14;7,85;7,49;0,8"
"Maluku;2017;68,2;18,3;9,3;5,8;5,77;11,09;6,07;7,94;8,00;7,90;9,42;0,8"
"Maluku;2018;68,9;17,9;7,0;5,9;5,76;10,93;6,14;8,03;8,04;7,84;9,55;0,8"
"Maluku;2019;69,5;17,7;6,7;5,4;5,77;10,90;6,18;8,04;8,01;7,87;9,03;0,8"
"Maluku;2020;69,5;18,0;7,6;-0,9;5,78;11,06;6,30;8,02;7,73;7,87;9,17;0,8"
"Maluku;2021;69,7;16,3;6,9;3,6;5,69;11,00;6,30;8,02;8,86;7,81;9,37;0,8"
"Maluku;2022;70,2;16,2;6,9;5,3;5,69;11,00;6,46;7,98;8,69;7,88;9,28;0,8"
"Maluku;2023;70,9;16,4;6,3;5,2;5,71;10,96;6,50;8,03;8,62;8,00;9,54;0,8"
"Maluku Utara;2013;64,8;7,6;3,8;6,4;4,45;9,80;5,11;7,18;7,68;7,08;7,85;0,7"
"Maluku Utara;2014;65,2;7,4;5,3;5,5;4,44;10,15;5,31;7,32;7,75;7,14;7,91;0,7"
"Maluku Utara;2015;65,9;6,2;6,1;6,1;4,29;10,34;5,46;7,50;7,87;7,35;8,17;0,7"
"Maluku Utara;2016;66,6;6,4;4,0;5,8;4,34;9,95;5,64;7,61;8,32;6,72;7,65;0,7"
"Maluku Utara;2017;67,2;6,4;5,3;7,7;4,36;10,22;5,79;7,73;7,95;7,49;8,86;0,7"
"Maluku Utara;2018;67,8;6,6;4,6;7,9;4,41;10,19;5,88;7,82;7,80;7,61;8,94;0,8"
"Maluku Utara;2019;68,7;6,9;4,8;6,3;4,47;10,24;6,07;7,90;7,99;7,87;9,09;0,8"
"Maluku Utara;2020;68,5;7,0;5,2;5,4;4,47;10,31;6,10;7,86;7,65;7,90;9,11;0,8"
"Maluku Utara;2021;68,8;6,4;4,7;16,8;4,40;10,24;6,31;7,96;8,91;8,15;8,76;0,8"
"Maluku Utara;2022;69,5;6,4;4,0;22,9;4,41;10,10;6,66;8,04;9,00;7,94;8,78;0,8"
"Maluku Utara;2023;70,2;6,5;4,3;20,5;4,43;10,26;6,13;7,76;8,77;8,13;9,14;0,8"
"Papua Barat;2013;60,9;27,1;4,4;7,4;5,46;9,71;5,47;8,64;8,43;7,03;8,13;0,6"
"Papua Barat;2014;61,3;26,3;5,0;5,4;5,42;9,90;5,73;8,66;8,62;7,02;7,65;0,7"
"Papua Barat;2015;61,7;25,7;8,1;4,2;5,42;10,42;5,78;8,67;8,72;7,36;8,52;0,7"
"Papua Barat;2016;62,2;24,9;7,5;4,5;5,41;10,39;5,83;8,82;7,58;6,96;6,18;0,7"
"Papua Barat;2017;63,0;23,1;6,5;4,0;5,36;10,24;6,15;8,96;8,70;7,05;8,94;0,7"
"Papua Barat;2018;63,7;22,7;6,5;6,3;5,36;10,27;6,13;8,90;8,69;7,15;9,14;0,7"
"Papua Barat;2019;64,7;21,5;6,4;2,7;5,34;10,31;6,18;9,34;8,87;7,81;9,22;0,7"
"Papua Barat;2020;65,1;21,7;6,8;-0,8;5,37;10,42;6,18;9,05;8,48;7,04;9,23;0,7"
"Papua Barat;2021;65,3;21,8;5,8;-0,5;5,40;10,31;6,18;8,90;10,19;7,83;8,95;0,7"
"Papua Barat;2022;65,9;21,4;5,4;2,0;5,40;10,23;6,43;8,96;10,03;7,70;8,89;0,7"
"Papua Barat;2023;66,7;20,5;5,4;5,2;5,37;10,37;5,81;8,03;9,89;7,73;9,27;0,7"
"Papua;2013;56,3;31,5;3,2;8,6;6,96;10,84;6,45;9,04;8,81;8,79;9,26;0,7"
"Papua;2014;56,8;27,8;3,4;3,7;6,76;10,96;6,85;9,28;9,04;9,02;9,49;0,7"
"Papua;2015;57,3;28,4;4,0;7,4;6,80;11,15;6,82;9,38;9,04;9,16;9,66;0,7"
"Papua;2016;58,1;28,4;3,4;9,1;6,82;10,96;6,93;9,44;8,99;8,96;8,72;0,7"
"Papua;2017;59,1;27,8;3,6;4,6;6,81;11,06;6,93;9,47;8,83;8,86;10,12;0,7"
"Papua;2018;60,1;27,4;3,0;7,3;6,82;10,93;6,96;9,51;8,70;9,01;10,17;0,7"
"Papua;2019;60,8;26,6;3,5;-15,7;6,80;11,08;7,61;9,63;8,86;9,26;10,42;0,8"
"Papua;2020;60,4;26,8;4,3;2,4;6,82;11,23;7,24;9,48;8,55;9,18;10,37;0,8"
"Papua;2021;60,6;27,4;3,3;15,2;6,85;11,08;7,67;9,54;9,79;9,22;9,59;0,8"
"Papua;2022;61,4;26,8;2,8;9,0;6,84;10,94;7,71;9,31;10,36;8,69;9,56;0,8"
"Papua;2023;62,3;26,0;2,7;4,2;6,82;11,12;7,17;8,09;9,88;9,10;10,17;0,9"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
